Talk1,Talk2
1149,1000
1261,2082
1023,1441
2274,1304
2473,2143
2492,1622
1382,1257
1868,1271
689,1753
2460,702
1714,661
1800,1686
1554,2304
1452,1363
1801,1267
1350,1245
2194,1892
1226,1368
1522,1484
2305,1476
1236,1130
995,829
1097,740
1267,2274
1777,1040
663,1215
2168,2544
1484,782
685,1905
1531,931
1232,2220
2443,2315
1473,1429
858,908
2345,2301
673,1973
1627,2247
1135,1051
2449,1890
727,849
624,1278
925,1802
1746,1183
1209,1003
2159,1532
2015,2219
622,1998
897,1560
2071,2119
2220,2009
1551,2489
995,2405
1457,1273
2047,2357
2448,2054
1528,1697
1018,2091
884,2430
2308,2412
2272,2259
1846,2168
2100,1463
1150,1102
1470,1366
1499,892
1834,1540
2089,710
1912,1708
2197,2347
2156,2149
1945,1256
718,1528
1739,731
2331,920
1636,1409
1182,1490
2385,2068
1147,1053
1324,820
1937,829
2318,2504
2207,2183
1816,1004
2455,2214
1676,979
2143,1050
2316,2154
1814,2253
2462,2401
2363,1940
2413,2425
1286,1487
1939,1471
653,1747
2171,969
2332,2515
1932,1511
668,1241
2145,2321
1810,861
865,2498
1664,2035
2508,920
805,1442
1873,1004
901,1487
1428,1409
1575,2089
1983,990
2094,1890
2393,851
1614,1305
944,1598
2007,2434
1095,2489
1277,2475
1310,1755
1773,1155
1882,1650
1801,2377
896,1382
2307,2230
1395,892
916,2467
2315,2527
2402,2300
1673,2535
1779,1578
1687,1653
1505,959
2147,2065
987,1644
1039,753
2104,1591
1863,1123
1544,1490
1080,1736
1726,2198
1860,2003
2229,1793
2321,2369
1961,2422
2421,2536
2089,2079
1680,2292
1438,1234
803,646
2037,1905
1523,1162
2433,1216
1099,779
1141,1099
1401,2153
1010,923
967,889
2503,2376
2363,1422
946,2000
1360,1228
1611,1596
1825,1345
745,981
1573,1435
1494,654
1872,2519
1432,1167
1737,2388
1493,1303
1593,1970
1679,1415
1780,988
1450,2155
631,1026
729,1810
929,1713
1396,2126
635,2137
1565,1085
2117,2287
1625,802
2533,880
2215,1372
1182,1728
1219,954
1002,1309
2054,2545
2285,2445
1935,1309
907,1506
982,899
2080,2070
1649,1101
1711,1416
1246,893
887,2113
840,945
1317,1353
2046,835
1776,1292
1048,2487
1045,1752
1990,1623
1209,2543
850,1863
2014,1078
717,1475
2449,2213
1594,701
1238,1209
2235,2142
1026,2289
820,1677
1482,1248
1464,1434
2266,2240
1183,1759
1580,1458
1225,749
1711,2455
705,2426
1127,1308
2111,2425
1167,2175
1587,2160
2535,1644
1218,690
802,1216
1407,2459
2424,1883
698,1675
2197,1394
1766,2012
816,678
1226,930
1391,840
1246,1918
2210,1619
1523,2143
2118,1858
1154,1099
2322,2365
1357,877
2262,1942
991,861
2052,1813
810,1164
1983,2116
1171,1058
1573,2134
1263,1659
1955,1154
1467,1457
1179,1043
1157,1397
1242,2516
1385,1642
2095,1723
796,1138
2375,2260
1560,1679
1556,1050
1046,2183
2424,1737
1557,958
1806,1419
1011,1621
1716,2491
1233,820
1163,1731
2391,2177
1143,1993
645,1455
2416,2082
1607,2257
1282,1463
1188,1451
2453,2144
1012,1763
1168,709
1021,1604
2433,641
1291,1190
2287,2531
1794,2527
1646,2444
2337,2218
998,1753
1338,1485
1452,1500
779,2411
2245,1429
1732,1869
1658,1923
2493,2045
2135,2129
2381,2429
1389,689
2093,1574
1364,1610
2201,1666
760,2232
1363,2342
1235,1403
2011,2151
1698,2017
1978,1724
1526,835
1651,1762
1540,2081
2017,659
1863,1342
1189,903
2303,1877
1340,1330
2081,1248
1925,1579
2500,2230
2343,1128
2464,1943
654,1493
897,902
2516,2414
745,1564
1951,2048
1423,2146
1240,2473
1033,760
2441,964
1148,809
830,1023
1510,2042
2196,1014
1793,1157
1408,630
2455,2481
2533,2488
984,845
1064,821
766,2050
1536,2498
2217,2208
1190,1365
1550,1171
804,2088
1885,1304
1566,1359
2325,1883
1736,2471
2301,1275
2378,2207
822,1904
1733,1750
1984,1780
2322,2163
1618,1438
1398,879
731,729
1122,1649
2159,1749
1795,1461
1064,641
1369,2378
1495,2222
1812,1120
2189,1251
1255,2198
2181,2170
685,884
840,2021
802,641
771,1672
1979,1281
841,1306
1474,1162
2382,946
2109,2515
971,1863
1246,863
1126,1327
1158,678
1339,2470
2325,1737
1962,2087
2086,1835
1841,2337
1991,2232
2497,2461
1278,2311
2276,1840
2448,2471
1872,2487
780,1019
1583,635
2277,1876
1599,1930
1524,2124
661,1923
1398,2224
1563,970
830,2316
2120,1808
688,770
1329,1076
1972,1842
1759,2121
2188,1018
2223,1792
1581,1974
1824,859
1878,1752
2265,1828
2440,1277
873,2043
1232,2329
1972,1288
846,851
1817,1644
2138,1737
1800,1366
739,2461
1699,1172
1273,1340
722,1583
1145,971
1040,2044
777,1568
1154,734
1140,1682
1866,2339
1930,1897
2195,2058
1482,2476
2110,1210
2264,2173
1273,2180
2158,2088
2044,2023
1718,1493
1854,1837
1973,1643
2148,2430
1539,1471
1785,2145
678,2497
1212,1174
2291,1757
1434,1344
2073,1890
2325,2455
1542,1364
1545,1436
2114,1967
2004,1597
2001,2430
2411,2380
1745,1431
938,1966
1638,2379
2179,1359
1365,1001
948,2004
2539,1093
1828,2452
1295,1187
1343,2522
1239,1202
2316,1498
2019,1922
1445,614
1455,2293
2056,2438
927,1539
1503,1222
1929,1709
2435,2165
1805,894
830,1991
1403,2219
1313,2006
1435,1798
1253,2406
1052,2000
865,853
1442,1399
2356,2162
1687,1527
835,2430
2353,1997
2428,1181
1748,699
1152,1071
1258,2434
775,1333
2177,630
1066,853
932,1083
2309,2004
1723,654
1043,749
1558,1408
2167,2079
1881,1155
1087,1356
830,2445
1314,1716
1473,1043
2328,2285
1244,1070
2439,2043
1056,1048
1428,1246
710,1643
2009,2263
2059,1755
2342,2279
1498,1429
1074,1799
1291,2070
755,1371
1899,2438
1763,1060
1337,872
1472,1321
2106,2066
1631,2505
996,1853
1010,1152
1546,930
2252,2061
2193,749
2242,2204
1190,1052
1204,1665
726,784
1597,2379
1154,1548
1898,1183
1643,1890
1750,615
1207,2442
1704,2044
682,1407
923,1911
866,981
1897,1983
2167,822
1851,1523
1765,1271
1228,2188
2160,2271
2233,2472
691,1014
1781,1366
