Talk1,Talk2
848,1975
2017,1012
1376,2423
561,2055
761,1372
1609,31
1908,243
2271,873
540,137
940,1308
1479,2540
2376,1297
38,1447
2221,2428
843,216
451,508
2411,374
782,416
1876,521
405,514
2419,1847
510,2178
1641,1120
1782,605
2377,707
1379,43
2244,2517
2489,328
2459,938
1594,819
1561,1569
1502,1551
1083,2154
810,1986
856,1014
1111,2042
2388,1362
745,1498
343,2477
944,943
1772,1178
113,916
2272,1381
861,860
1949,2261
2281,2095
1123,1354
1822,1379
502,1346
2202,2451
208,2214
154,1666
2503,2102
2052,2489
1560,523
1213,60
196,917
1775,740
1315,1279
924,837
1964,1193
2257,1880
294,23
576,1392
266,717
336,242
879,938
1606,2351
1707,1436
10,710
1475,1970
1676,1108
792,17
1407,1406
1613,912
414,668
2286,1190
417,1952
742,737
0,1370
1022,30
553,1090
815,1536
412,206
831,1783
299,1230
2406,2516
1573,2525
400,2018
1187,1380
136,1359
1469,1851
2099,1302
1885,1301
2293,2320
190,1244
2464,2496
1555,1479
808,293
1835,489
473,63
2431,874
2226,1820
1921,204
2038,512
1994,402
2133,782
2009,141
1603,1730
2236,2032
950,610
1674,316
1126,343
87,1496
3,130
715,604
2501,1693
1354,1358
2491,1536
1485,1590
1576,857
1262,795
1431,1588
2191,2045
946,897
1050,435
1252,413
2519,1883
666,1834
1516,1008
1262,1395
2413,1831
2443,909
1819,2434
202,383
388,2232
1366,1216
1220,2032
455,1408
2319,138
1525,504
1609,829
2423,2041
351,1904
172,2182
567,2160
1116,1405
575,1456
296,2029
2514,177
1705,2102
101,1607
340,1302
1942,1654
2170,1976
667,263
320,2117
2079,934
2532,2002
1031,477
302,1064
2125,2321
750,2340
1569,1604
2507,479
855,2103
2438,1246
192,277
2029,1327
2345,1050
1730,1927
1971,1544
2006,1282
41,237
2022,1842
2414,1962
1251,1255
2426,706
1983,1273
1178,2025
2214,776
831,1563
1964,928
335,1068
1394,1545
2266,2515
1304,497
2471,782
357,4
1458,631
488,36
1801,2351
2493,1321
1602,485
1180,1295
2540,2295
1814,698
1797,885
1419,776
1198,653
2029,2477
780,1479
1369,2269
2329,1676
1496,1146
423,500
1148,1862
803,1230
167,325
9,24
1989,2032
1843,1784
1060,1696
677,2039
1155,143
2386,2253
44,817
533,2301
2312,1101
1043,348
1852,848
1890,1707
2535,2057
555,877
1597,1767
1387,754
2130,414
1812,200
2323,2365
2198,834
2205,2441
782,1935
424,1501
485,47
1593,1581
2452,971
2155,544
1099,123
807,1334
14,349
1132,305
1589,64
135,888
2445,823
689,560
1117,131
875,627
2120,1101
2204,1373
2171,1775
1031,560
2219,889
263,2127
1811,1104
663,837
661,39
203,24
1308,966
1487,212
1692,1545
2255,2094
356,2016
2353,1874
2231,1751
1306,1045
1426,1794
1796,636
1844,851
1372,442
1820,1038
1689,2471
863,763
317,300
865,1916
525,1196
22,4
1462,1965
973,2291
231,846
2237,69
418,1345
2509,2448
1383,1733
786,1774
2291,1956
1113,1369
2078,1577
1419,1560
195,662
2182,1475
2419,1988
658,1891
1045,2198
1287,388
1873,479
2541,817
2132,724
1180,2169
613,747
1894,693
1685,1115
822,1899
986,885
958,890
213,2177
1207,1336
2209,2239
644,1468
89,2513
847,2221
1443,1224
168,1648
207,653
332,2204
739,1313
728,1577
843,1489
201,483
2180,1223
1672,2282
1225,2245
2468,2086
132,1749
2009,2284
473,1245
1834,2134
2137,1102
360,419
1978,2193
809,786
1211,133
238,819
745,627
2107,577
110,1537
1136,53
138,2319
1403,1230
2178,486
1189,1134
2428,1149
1785,1465
2299,2453
1148,653
479,389
2266,1664
374,1838
1364,2017
2201,285
1313,428
2026,2394
107,1515
2109,520
2200,2513
1698,521
142,1209
243,1947
146,726
721,2381
1297,709
2487,2114
1663,2373
1364,1664
2290,1195
357,2227
48,123
109,2193
242,796
440,776
3,968
2297,2252
1052,1069
553,2298
95,43
1116,107
2042,1111
2499,1325
1859,614
133,698
650,1804
2458,1102
2189,442
181,2096
271,1894
2485,235
2028,817
1161,1332
2235,1644
2464,1953
693,1943
337,855
2032,614
1039,553
404,1133
1920,2085
52,40
477,1029
2473,1792
1749,116
615,2480
2112,1266
1183,1916
545,372
1159,643
287,213
1674,614
358,2338
1110,837
1720,1409
1599,1944
2195,402
812,1498
1629,1736
1700,1367
2413,230
1968,1844
461,402
1554,2301
532,760
975,2508
687,2017
860,1086
176,1212
375,1724
2385,1106
2143,1223
1428,2391
24,12
1349,1906
1037,1738
701,45
1723,1852
1855,1480
2432,701
320,2315
2279,296
1149,1940
2034,389
1975,2252
1747,943
460,2370
2532,1018
1820,630
2511,1860
292,898
1640,821
2393,1606
1211,776
1446,2513
976,1949
540,927
1158,137
544,2239
195,851
2122,2273
499,780
1975,239
2469,509
221,2268
1715,1918
926,1575
2151,2341
2193,2228
283,491
1381,2127
378,1801
2422,1456
601,1854
1492,2254
1981,1333
1505,514
41,1838
84,1388
894,2023
1935,373
736,561
151,1733
1987,536
2496,202
54,527
2035,863
1948,1135
1844,550
1087,553
2243,82
1074,1244
1015,436
1156,635
811,573
1074,557
717,1811
713,2247
1225,913
748,470
1279,228
837,1171
80,2107
1828,1627
1433,1968
2454,479
1690,1223
907,2429
1720,2285
802,1023
232,2510
941,879
396,2196
1687,1184
654,1711
2135,1204
2408,1170
1645,1852
39,1700
1579,57
466,2535
2292,1856
2034,1477
2112,121
1765,2010
179,960
2405,2226
713,585
1989,1310
130,1332
414,130
2228,518
2072,2274
242,2227
1250,1055
1103,946
63,1577
794,1368
2442,1841
528,2539
2102,2305
1786,701
999,4
450,1579
1245,1415
750,2277
459,781
739,2470
683,224
2083,1618
1580,2171
2168,1425
1598,2524
1108,1506
889,1898
1531,113
2526,1911
85,700
462,236
260,1610
1112,1911
2126,1253
1843,274
525,2487
471,703
943,268
177,1721
2471,688
2076,1852
1791,634
696,1750
546,2339
1652,1313
1946,443
2421,1919
1780,785
969,2503
1190,2372
981,1897
1714,2328
2417,571
698,1814
1979,389
70,1674
688,39
1675,524
1511,1784
1409,1430
1390,1621
2320,2305
535,863
1073,366
1583,1840
1590,1207
1768,470
1460,1461
366,2196
2226,1677
1146,584
685,762
1491,2054
1007,1560
37,57
1238,1511
177,1500
2071,281
197,688
731,442
1524,1523
809,1544
1767,777
1735,557
982,411
2048,1200
1207,2305
1882,505
1574,1701
835,833
2113,1179
1447,2027
1998,1494
1810,603
877,1025
2310,2443
1113,1249
1744,649
2517,1116
1115,1936
687,171
2255,1948
1477,2443
241,1338
1026,922
1829,2039
675,2010
2038,208
143,2076
201,602
995,1311
1716,1368
1453,138
2419,504
416,2371
220,358
1992,888
542,2043
760,1131
1937,195
678,1342
1723,50
2153,642
326,2441
878,2356
220,291
1072,493
1488,1774
711,395
1820,2356
316,1412
550,1288
644,2538
1290,1321
1443,1575
1135,1784
1805,2140
915,812
2418,1761
2213,1456
421,1304
788,802
2204,176
2319,1275
814,860
881,698
1168,2196
1305,474
1815,708
863,535
235,2231
752,731
972,1967
201,1890
906,1483
626,23
2159,23
2078,1310
2254,775
830,1814
2100,1235
1739,185
2060,2251
2043,1666
735,439
2261,1736
2195,2039
393,1375
2448,764
1788,795
2278,716
1064,1375
323,2352
651,1505
1810,646
120,383
2115,132
63,1522
1974,194
2356,1390
1326,1077
1394,2126
2430,796
2445,1620
999,2227
2490,1972
2205,325
1785,372
1813,699
1967,2427
2058,624
1327,1357
1874,2496
948,1243
1614,2264
1888,1265
2489,634
1898,2101
1752,1535
261,2254
1161,1153
2250,842
1783,1839
1935,894
2016,652
1440,1139
872,1883
1216,1212
390,415
955,408
725,756
2005,1202
2262,2223
436,1837
2265,105
1222,2212
302,1567
902,513
2458,1472
2078,1669
2540,1251
181,1474
461,1901
451,2416
2014,979
2403,2003
952,724
166,1229
1065,1029
1387,1364
1270,2527
1328,3
1078,1056
488,227
1180,1467
718,2014
1905,199
557,1763
2008,1383
1198,206
1473,917
56,946
2340,227
185,1345
1705,1373
1823,1133
1234,101
2159,666
715,1291
1526,545
406,1212
758,1441
1507,1906
785,1279
867,2264
2019,542
380,469
479,472
1146,500
1400,1216
1277,342
1305,402
1636,1126
280,2451
1090,981
654,2539
1893,200
2465,969
2178,206
2282,1275
1594,1707
1071,1940
105,1418
1821,1394
599,1179
1055,705
105,2488
1067,326
