Source,Target,Type,Id,Label,timeset,Weight
Talk1,Talk2,Directed,0,,,1
848,1975,Directed,1,,,1
2017,1012,Directed,2,,,1
1376,2423,Directed,3,,,1
561,2055,Directed,4,,,1
761,1372,Directed,5,,,1
1609,31,Directed,6,,,1
1908,243,Directed,7,,,1
2271,873,Directed,8,,,1
540,137,Directed,9,,,1
940,1308,Directed,10,,,1
1479,2540,Directed,11,,,1
2376,1297,Directed,12,,,1
38,1447,Directed,13,,,1
2221,2428,Directed,14,,,1
843,216,Directed,15,,,1
451,508,Directed,16,,,1
2411,374,Directed,17,,,1
782,416,Directed,18,,,1
1876,521,Directed,19,,,1
405,514,Directed,20,,,1
2419,1847,Directed,21,,,1
510,2178,Directed,22,,,1
1641,1120,Directed,23,,,1
1782,605,Directed,24,,,1
2377,707,Directed,25,,,1
1379,43,Directed,26,,,1
2244,2517,Directed,27,,,1
2489,328,Directed,28,,,1
2459,938,Directed,29,,,1
1594,819,Directed,30,,,1
1561,1569,Directed,31,,,1
1502,1551,Directed,32,,,1
1083,2154,Directed,33,,,1
810,1986,Directed,34,,,1
856,1014,Directed,35,,,1
1111,2042,Directed,36,,,1
2388,1362,Directed,37,,,1
745,1498,Directed,38,,,1
343,2477,Directed,39,,,1
944,943,Directed,40,,,1
1772,1178,Directed,41,,,1
113,916,Directed,42,,,1
2272,1381,Directed,43,,,1
861,860,Directed,44,,,1
1949,2261,Directed,45,,,1
2281,2095,Directed,46,,,1
1123,1354,Directed,47,,,1
1822,1379,Directed,48,,,1
502,1346,Directed,49,,,1
2202,2451,Directed,50,,,1
208,2214,Directed,51,,,1
154,1666,Directed,52,,,1
2503,2102,Directed,53,,,1
2052,2489,Directed,54,,,1
1560,523,Directed,55,,,1
1213,60,Directed,56,,,1
196,917,Directed,57,,,1
1775,740,Directed,58,,,1
1315,1279,Directed,59,,,1
924,837,Directed,60,,,1
1964,1193,Directed,61,,,1
2257,1880,Directed,62,,,1
294,23,Directed,63,,,1
576,1392,Directed,64,,,1
266,717,Directed,65,,,1
336,242,Directed,66,,,1
879,938,Directed,67,,,1
1606,2351,Directed,68,,,1
1707,1436,Directed,69,,,1
10,710,Directed,70,,,1
1475,1970,Directed,71,,,1
1676,1108,Directed,72,,,1
792,17,Directed,73,,,1
1407,1406,Directed,74,,,1
1613,912,Directed,75,,,1
414,668,Directed,76,,,1
2286,1190,Directed,77,,,1
417,1952,Directed,78,,,1
742,737,Directed,79,,,1
0,1370,Directed,80,,,1
1022,30,Directed,81,,,1
553,1090,Directed,82,,,1
815,1536,Directed,83,,,1
412,206,Directed,84,,,1
831,1783,Directed,85,,,1
299,1230,Directed,86,,,1
2406,2516,Directed,87,,,1
1573,2525,Directed,88,,,1
400,2018,Directed,89,,,1
1187,1380,Directed,90,,,1
136,1359,Directed,91,,,1
1469,1851,Directed,92,,,1
2099,1302,Directed,93,,,1
1885,1301,Directed,94,,,1
2293,2320,Directed,95,,,1
190,1244,Directed,96,,,1
2464,2496,Directed,97,,,1
1555,1479,Directed,98,,,1
808,293,Directed,99,,,1
1835,489,Directed,100,,,1
473,63,Directed,101,,,1
2431,874,Directed,102,,,1
2226,1820,Directed,103,,,1
1921,204,Directed,104,,,1
2038,512,Directed,105,,,1
1994,402,Directed,106,,,1
2133,782,Directed,107,,,1
2009,141,Directed,108,,,1
1603,1730,Directed,109,,,1
2236,2032,Directed,110,,,1
950,610,Directed,111,,,1
1674,316,Directed,112,,,1
1126,343,Directed,113,,,1
87,1496,Directed,114,,,1
3,130,Directed,115,,,1
715,604,Directed,116,,,1
2501,1693,Directed,117,,,1
1354,1358,Directed,118,,,1
