Source,Target,Type,Id,Label,timeset,Weight
1149,1000,Directed,20263,,,1
1261,2082,Directed,20264,,,1
1023,1441,Directed,20265,,,1
2274,1304,Directed,20266,,,1
2473,2143,Directed,20267,,,1
2492,1622,Directed,20268,,,1
1382,1257,Directed,20269,,,1
1868,1271,Directed,20270,,,1
689,1753,Directed,20271,,,1
2460,702,Directed,20272,,,1
1714,661,Directed,20273,,,1
1800,1686,Directed,20274,,,1
1554,2304,Directed,20275,,,1
1452,1363,Directed,20276,,,1
1801,1267,Directed,20277,,,1
1350,1245,Directed,20278,,,1
2194,1892,Directed,20279,,,1
1226,1368,Directed,20280,,,1
1522,1484,Directed,20281,,,1
2305,1476,Directed,20282,,,1
1236,1130,Directed,20283,,,1
995,829,Directed,20284,,,1
1097,740,Directed,20285,,,1
1267,2274,Directed,20286,,,1
1777,1040,Directed,20287,,,1
663,1215,Directed,20288,,,1
2168,2544,Directed,20289,,,1
1484,782,Directed,20290,,,1
685,1905,Directed,20291,,,1
1531,931,Directed,20292,,,1
1232,2220,Directed,20293,,,1
2443,2315,Directed,20294,,,1
1473,1429,Directed,20295,,,1
858,908,Directed,20296,,,1
2345,2301,Directed,20297,,,1
673,1973,Directed,20298,,,1
1627,2247,Directed,20299,,,1
1135,1051,Directed,20300,,,1
2449,1890,Directed,20301,,,1
727,849,Directed,20302,,,1
624,1278,Directed,20303,,,1
925,1802,Directed,20304,,,1
1746,1183,Directed,20305,,,1
1209,1003,Directed,20306,,,1
2159,1532,Directed,20307,,,1
2015,2219,Directed,20308,,,1
622,1998,Directed,20309,,,1
897,1560,Directed,20310,,,1
2071,2119,Directed,20311,,,1
2220,2009,Directed,20312,,,1
1551,2489,Directed,20313,,,1
995,2405,Directed,20314,,,1
1457,1273,Directed,20315,,,1
2047,2357,Directed,20316,,,1
2448,2054,Directed,20317,,,1
1528,1697,Directed,20318,,,1
1018,2091,Directed,20319,,,1
884,2430,Directed,20320,,,1
2308,2412,Directed,20321,,,1
2272,2259,Directed,20322,,,1
1846,2168,Directed,20323,,,1
2100,1463,Directed,20324,,,1
1150,1102,Directed,20325,,,1
1470,1366,Directed,20326,,,1
