topic,topic_talkid
alternative_energy,1
cars,1
climate_change,1
culture,1
environment,1
global_issues,1
science,1
sustainability,1
technology,1
Africa,92
Asia,92
Google,92
demo,92
economics,92
global_issues,92
health,92
statistics,92
global_development,92
visualizations,92
math,92
computers,7
entertainment,7
interface_design,7
media,7
music,7
performance,7
simplicity,7
software,7
technology,7
MacArthur_grant,53
activism,53
business,53
cities,53
environment,53
green,53
inequality,53
politics,53
pollution,53
children,66
creativity,66
culture,66
dance,66
education,66
parenting,66
teaching,66
architecture,49
collaboration,49
culture,49
design,49
library,49
Christianity,86
God,86
atheism,86
comedy,86
culture,86
performance,86
religion,86
storytelling,86
humor,86
God,94
atheism,94
brain,94
cognitive_science,94
consciousness,94
evolution,94
philosophy,94
religion,94
Christianity,71
God,71
culture,71
happiness,71
leadership,71
motivation,71
philanthropy,71
religion,71
TED_Prize,55
culture,55
entertainment,55
film,55
global_issues,55
peace,55
social_change,55
storytelling,55
art,55
movies,55
TED_Prize,58
collaboration,58
disease,58
ebola,58
global_issues,58
health,58
science,58
technology,58
activism,54
architecture,54
collaboration,54
culture,54
design,54
disaster_relief,54
global_issues,54
invention,54
open-source,54
philanthropy,54
children,41
design,41
education,41
entrepreneur,41
global_issues,41
philanthropy,41
social_change,41
technology,41
demo,65
design,65
interface_design,65
technology,65
creativity,46
entertainment,46
music,46
performance,46
piano,46
wunderkind,46
live_music,46
entertainment,45
music,45
performance,45
violin,45
wunderkind,45
youth,45
live_music,45
MacArthur_grant,2
alternative_energy,2
design,2
engineering,2
global_issues,2
industrial_design,2
invention,2
simplicity,2
DNA,27
biology,27
creativity,27
design,27
industrial_design,27
invention,27
nature,27
product_design,27
science_and_art,27
business,37
collaboration,37
culture,37
invention,37
media,37
open-source,37
technology,37
wikipedia,37
business,25
collaboration,25
culture,25
global_issues,25
library,25
open-source,25
technology,25
collaboration,87
comedy,87
community,87
culture,87
dance,87
demo,87
entertainment,87
software,87
performance,87
humor,87
business,21
communication,21
community,21
culture,21
design,21
entertainment,21
software,21
storytelling,21
cognitive_science,16
culture,16
evolution,16
gender,16
love,16
psychology,16
relationships,16
science,16
culture,64
entertainment,64
gender,64
global_issues,64
happiness,64
performance,64
storytelling,64
theater,64
women,64
astronomy,98
biology,98
cognitive_science,98
cosmos,98
evolution,98
physics,98
psychology,98
science,98
climate_change,47
cosmos,47
culture,47
environment,47
global_issues,47
physics,47
science,47
technology,47
universe,47
business,20
choice,20
consumerism,20
culture,20
economics,20
food,20
marketing,20
media,20
storytelling,20
business,29
cities,29
culture,29
economics,29
race,29
narcotics,29
brain,97
choice,97
culture,97
evolution,97
happiness,97
psychology,97
science,97
business,93
choice,93
culture,93
decision-making,93
economics,93
happiness,93
personal_growth,93
potential,93
psychology,93
cancer,12
disease,12
health,12
science,12
technology,12
wunderkind,12
aging,39
biotech,39
disease,39
engineering,39
future,39
health_care,39
science,39
technology,39
business,91
culture,91
entrepreneur,91
investment,91
microfinance,91
philanthropy,91
poverty,91
global_development,91
alternative_energy,79
business,79
communication,79
culture,79
global_issues,79
invention,79
investment,79
microfinance,79
poverty,79
technology,79
telecom,79
transportation,79
global_development,79
business,3
corruption,3
culture,3
economics,3
entrepreneur,3
global_issues,3
investment,3
military,3
global_development,3
poverty,3
politics,3
policy,3
business,75
culture,75
global_issues,75
investment,75
media,75
philanthropy,75
NASA,4
aircraft,4
business,4
design,4
engineering,4
entrepreneur,4
flight,4
industrial_design,4
invention,4
rocket_science,4
climate_change,89
culture,89
exploration,89
global_issues,89
personal_growth,89
potential,89
sports,89
technology,89
travel,89
TED_Prize,56
art,56
cities,56
culture,56
design,56
environment,56
photography,56
pollution,56
social_change,56
TED_Prize,57
business,57
disease,57
health_care,57
invention,57
medicine,57
science,57
technology,57
AIDS,59
Africa,59
activism,59
entertainment,59
global_issues,59
philanthropy,59
poverty,59
social_change,59
culture,22
entertainment,22
faith,22
illusion,22
religion,22
science,22
culture,67
genetics,67
science,67
statistics,67
technology,67
choice,19
culture,19
evolution,19
future,19
history,19
philosophy,19
science,19
technology,19
biotech,38
business,38
culture,38
future,38
invention,38
robots,38
science,38
technology,38
activism,23
collaboration,23
culture,23
film,23
global_issues,23
music,23
social_change,23
storytelling,23
art,23
culture,26
entertainment,26
love,26
performance,26
philosophy,26
poetry,26
culture,10
disease,10
food,10
global_issues,10
health,10
health_care,10
obesity,10
science,10
business,70
culture,70
entertainment,70
happiness,70
psychology,70
success,70
work,70
business,36
cities,36
culture,36
entrepreneur,36
future,36
global_issues,36
social_change,36
poverty,36
policy,36
global_development,36
AIDS,62
Africa,62
business,62
choice,62
climate_change,62
culture,62
disaster_relief,62
economics,62
environment,62
future,62
anthropology,69
culture,69
environment,69
film,69
global_issues,69
language,69
photography,69
indigenous_peoples,69
activism,34
culture,34
design,34
film,34
global_issues,34
photography,34
social_change,34
storytelling,34
art,34
indigenous_peoples,34
astronomy,42
climate_change,42
complexity,42
cosmos,42
science,42
social_change,42
technology,42
time,42
universe,42
culture,68
global_issues,68
war,68
collaboration,68
evolutionary_psychology,68
business,63
collaboration,63
culture,63
economics,63
innovation,63
invention,63
media,63
open-source,63
product_design,63
cities,61
culture,61
design,61
health,61
history,61
map,61
science,61
urban_planning,61
disease,61
MacArthur_grant,60
United_States,60
culture,60
entertainment,60
history,60
interview,60
performance,60
performance_art,60
race,60
sports,60
storytelling,60
theater,60
MacArthur_grant,48
collaboration,48
design,48
innovation,48
invention,48
materials,48
open-source,48
product_design,48
technology,48
computers,90
culture,90
engineering,90
invention,90
materials,90
science,90
social_change,90
technology,90
education,90
code,90
choice,73
culture,73
happiness,73
health,73
parenting,73
personal_growth,73
potential,73
psychology,73
work-life_balance,73
activism,84
culture,84
global_issues,84
media,84
photography,84
poverty,84
social_change,84
storytelling,84
art,84
war,84
TED_Prize,83
ants,83
biodiversity,83
biology,83
global_issues,83
insects,83
nature,83
science,83
technology,83
ecology,83
Africa,85
TED_Prize,85
business,85
culture,85
economics,85
global_issues,85
health_care,85
technology,85
business,9
cars,9
industrial_design,9
innovation,9
invention,9
robots,9
science,9
social_change,9
sustainability,9
technology,9
transportation,9
biology,77
biomechanics,77
oceans,77
online_video,77
science,77
technology,77
business,5
cars,5
design,5
industrial_design,5
invention,5
technology,5
transportation,5
art,5
art,14
entertainment,14
invention,14
music,14
performance,14
software,14
technology,14
DNA,35
culture,35
genetics,35
history,35
invention,35
science,35
storytelling,35
technology,35
business,43
design,43
industrial_design,43
product_design,43
biotech,44
culture,44
future,44
global_issues,44
happiness,44
philosophy,44
technology,44
art,50
design,50
happiness,50
typography,50
graphic_design,50
DNA,80
biotech,80
business,80
culture,80
genetics,80
invention,80
science,80
technology,80
DNA,18
animals,18
biology,18
biomimicry,18
design,18
environment,18
evolution,18
fish,18
science,18
technology,18
animals,40
art,40
design,40
evolution,40
fish,40
nature,40
photography,40
storytelling,40
global_commons,40
entertainment,81
live_music,81
music,81
poetry,81
singer,81
performance,81
brain,78
cognitive_science,78
culture,78
design,78
illusion,78
psychology,78
animals,76
apes,76
biology,76
culture,76
evolution,76
genetics,76
intelligence,76
language,76
alternative_energy,74
business,74
cities,74
collaboration,74
culture,74
design,74
environment,74
global_issues,74
invention,74
sustainability,74
DNA,6
biotech,6
entrepreneur,6
genetics,6
invention,6
oceans,6
science,6
technology,6
ecology,6
biology,6
biodiversity,6
Brazil,32
art,32
creativity,32
design,32
illusion,32
animation,32
business,28
choice,28
culture,28
marketing,28
storytelling,28
architecture,31
cities,31
culture,31
design,31
invention,31
Africa,11
animals,11
culture,11
environment,11
global_issues,11
nature,11
primates,11
science,11
climate_change,99
environment,99
guitar,99
music,99
performance,99
vocals,99
live_music,99
cello,101
entertainment,101
music,101
performance,101
vocals,101
live_music,101
brain,102
consciousness,102
culture,102
entertainment,102
illusion,102
self,102
visualizations,102
creativity,103
entertainment,103
live_music,103
music,103
performance,103
architecture,104
business,104
china,104
cities,104
culture,104
design,104
environment,104
global_issues,104
sustainability,104
technology,104
entertainment,108
memory,108
performance,108
poetry,108
spoken_word,108
storytelling,108
business,105
entrepreneur,105
history,105
innovation,105
invention,105
technology,105
web,105
electricity,105
composing,109
entertainment,109
guitar,109
music,109
performance_art,109
piano,109
potential,109
vocals,109
performance,109
live_music,109
composing,110
entertainment,110
guitar,110
memory,110
music,110
performance,110
piano,110
live_music,110
comedy,114
culture,114
performance,114
humor,114
God,113
atheism,113
culture,113
religion,113
science,113
entertainment,115
live_music,115
music,115
performance,115
God,112
culture,112
disaster_relief,112
global_issues,112
natural_disaster,112
philosophy,112
religion,112
business,72
culture,72
economics,72
entertainment,72
marketing,72
technology,72
entertainment,117
history,117
music,117
performance,117
violin,117
live_music,117
Google,118
business,118
collaboration,118
culture,118
design,118
technology,118
web,118
culture,119
entertainment,119
live_music,119
music,119
performance,119
poetry,119
race,119
sports,119
alternative_energy,121
architecture,121
cars,121
cities,121
consumerism,121
culture,121
design,121
energy,121
transportation,121
collaboration,122
creativity,122
culture,122
design,122
museums,122
philanthropy,122
water,122
science_and_art,122
business,123
cities,123
culture,123
future,123
global_issues,123
poverty,123
technology,123
urban_planning,123
AI,125
brain,125
cognitive_science,125
computers,125
intelligence,125
memory,125
science,125
technology,125
animals,126
biodiversity,126
climate_change,126
environment,126
fish,126
global_issues,126
oceans,126
science,126
technology,126
marine_biology,126
climate_change,128
environment,128
global_issues,128
green,128
investment,128
sustainability,128
technology,128
collaboration,129
demo,129
microsoft,129
photography,129
software,129
technology,129
visualizations,129
virtual_reality,129
business,127
corruption,127
global_issues,127
investment,127
women,127
women_in_business,127
demo,131
interface_design,131
software,131
technology,131
Buddhism,130
God,130
culture,130
global_issues,130
happiness,130
peace,130
religion,130
New_York,8
architecture,8
cities,8
collaboration,8
culture,8
death,8
design,8
disaster_relief,8
interview,8
memory,8
urban_planning,8
culture,33
global_issues,33
military,33
peace,33
technology,33
terrorism,33
war,33
design,139
map,139
microsoft,139
technology,139
virtual_reality,139
Africa,140
Asia,140
Google,140
economics,140
global_issues,140
health,140
inequality,140
statistics,140
visualizations,140
global_development,140
poverty,140
Moon,141
NASA,141
Planets,141
adventure,141
energy,141
exploration,141
mining,141
space,141
technology,141
culture,116
faith,116
meme,116
philosophy,116
religion,116
cancer,142
design,142
health,142
health_care,142
medicine,142
technology,142
bioethics,142
design,144
entertainment,144
global_issues,144
software,144
technology,144
AIDS,143
Africa,143
economics,143
global_issues,143
health,143
science,143
statistics,143
HIV,143
entertainment,148
poetry,148
spoken_word,148
demo,146
design,146
entertainment,146
gaming,146
technology,146
design,147
entertainment,147
film,147
health,147
medicine,147
science,147
technology,147
visualizations,147
animation,147
culture,149
health_care,149
marketing,149
medicine,149
Africa,151
business,151
economics,151
entrepreneur,151
global_issues,151
philanthropy,151
corruption,151
global_development,151
Africa,153
alternative_energy,153
design,153
energy,153
global_issues,153
interview,153
library,153
technology,153
economics,152
entrepreneur,152
global_issues,152
health_care,152
investment,152
philanthropy,152
women,152
women_in_business,152
global_development,152
Africa,152
business,152
Africa,154
business,154
entrepreneur,154
global_issues,154
investment,154
Africa,156
culture,156
education,156
global_issues,156
leadership,156
social_change,156
Africa,155
culture,155
entertainment,155
global_issues,155
literature,155
poetry,155
storytelling,155
business,157
global_issues,157
investment,157
medicine,157
philanthropy,157
poverty,157
women,157
women_in_business,157
global_development,157
markets,157
Africa,158
activism,158
entertainment,158
live_music,158
music,158
singer,158
women,158
business,170
entertainment,170
film,170
global_issues,170
philanthropy,170
social_change,170
movies,170
culture,82
demo,82
global_issues,82
health_care,82
invention,82
peace,82
prosthetics,82
science,82
technology,82
war,82
culture,161
education,161
entertainment,161
language,161
books,161
Africa,159
business,159
global_issues,159
investment,159
philanthropy,159
technology,159
global_development,159
animals,162
art,162
biomechanics,162
creativity,162
demo,162
design,162
entertainment,162
technology,162
science_and_art,162
culture,164
